	Stadt	Einwohner	share	share_cumu
1	Berlin	3520031	0.1572251909878421	1.0
2	Hamburg	1787408	0.0798361049016889	0.8427748090121578
3	München 	1450381	0.06478250610012735	0.7629387041104689
4	Köln	1060582	0.04737180084728445	0.6981561980103416
5	Frankfurt am Main 	732688	0.03272613529099603	0.6507843971630571
6	Stuttgart 	623738	0.027859790489451555	0.6180582618720611
7	Düsseldorf 	612178	0.027343453216336785	0.5901984713826096
8	Dortmund 	586181	0.02618227500793154	0.5628550181662728
9	Essen 	582624	0.026023398564984375	0.5366727431583412
10	Leipzig 	560472	0.025033960565500085	0.5106493445933569
11	Bremen 	557464	0.024899605676440464	0.48561538402785676
12	Dresden 	543825	0.024290408092702373	0.4607157783514163
13	Hannover 	532163	0.023769514902471884	0.4364253702587139
14	Nürnberg 	509975	0.02277846893224087	0.41265585535624205
15	Duisburg	491231	0.021941252163446473	0.38987738642400116
16	Bochum 	364742	0.01629151294726879	0.3679361342605547
17	Wuppertal	350046	0.01563510355577271	0.35164462131328594
18	Bielefeld	333090	0.014877749334065615	0.33600951775751325
19	Bonn	318809	0.014239876272010942	0.32113176842344765
20	Münster	310039	0.013848156731767298	0.3068918921514367
21	Karlsruhe 	307755	0.013746139921058463	0.2930437354196694
22	Mannheim 	305780	0.013657924859259011	0.27929759549861094
23	Augsburg 	286374	0.012791139295066518	0.26563967063935195
24	Wiesbaden	276218	0.012337512881073992	0.2528485313442854
25	Gelsenkirchen	260368	0.01162955909397459	0.24051101846321143
26	Mönchen­gladbach	259996	0.01161294339625844	0.22888145936923684
27	Braunschweig 	251364	0.011227387743877238	0.21726851597297842
28	Chemnitz	248645	0.011105941286645486	0.20604112822910117
29	Kiel 	246306	0.011001467853962488	0.19493518694245568
30	Aachen	245885	0.01098266352939663	0.18393371908849318
31	Halle (Saale)	236991	0.010585405423247603	0.17295105555909654
32	Magdeburg 	235723	0.010528769120279651	0.16236565013584894
33	Freiburg im Breisgau	226393	0.01011203670175363	0.1518368810155693
34	Krefeld	225144	0.010056249050013117	0.14172484431381568
35	Lübeck 	216253	0.009659124941426315	0.13166859526380256
36	Oberhausen	210934	0.009421547263597816	0.12200947032237625
37	Erfurt 	210118	0.009385099926672068	0.11258792305877843
38	Mainz	209779	0.009369958202140415	0.10320282313210637
39	Rostock	206011	0.009201657263983282	0.09383286492996595
40	Kassel	197984	0.008843124453317861	0.08463120766598267
41	Hagen 	189044	0.008443811717881354	0.07578808321266481
42	Hamm 	179397	0.008012920223613345	0.06734427149478346
43	Saarbrücken	178151	0.007957266569435057	0.05933135127117011
44	Mülheim an der Ruhr 	169278	0.007560946446221619	0.05137408470173505
45	Potsdam 	167745	0.007492473691923614	0.04381313825551343
46	Ludwigshafen am Rhein	164718	0.007357270151636555	0.036320664563589816
47	Oldenburg (Oldb) 	163830	0.007317606873217358	0.02896339441195326
48	Leverkusen 	163487	0.007302286485269403	0.021645787538735903
49	Osnabrück	162403	0.007253868699451374	0.0143435010534665
50	Solingen 	158726	0.007089632354015127	0.007089632354015127
