,Word,Category,Sentiment
,unfreundlich,Service,Negative
,beleidigt,Service,Negative
,beleidigend,Service,Negative
,erniedrigend,Service,Negative
,herablassend,Service,Negative
,faul,Service,Negative
,frech,Service,Negative
,Frechheit,Service,Negative
,Zumutung,Service,Negative
,Bodenlosigkeit,Service,Negative
,dreist,Service,Negative
,schamlos,Service,Negative
,Schamlosigkeit,Service,Negative
,unverschämt,Service,Negative
,Unverschämtheit,Service,Negative
,Dreistigkeit,Service,Negative
,arrogant,Service,Negative
,Arroganz,Service,Negative
,respektlos,Service,Negative
,Respektlosigkeit,Service,Negative
,Idiot,Service,Negative
,aufdringlich,Service,Negative
,aggressiv,Service,Negative
,unprofessionell,Service,Negative
,rücksichtslos,Service,Negative
,inkompetent,Service,Negative
,Verspätung,Pünktlichkeit,Negative
,Warten,Pünktlichkeit,Negative
,Wartezeit,Pünktlichkeit,Negative
,spät,Pünktlichkeit,Negative
,warten,Pünktlichkeit,Negative
,Ewigkeit,Pünktlichkeit,Negative
,Odyssee ,Pünktlichkeit,Negative
,abwarten,Pünktlichkeit,Negative
,endlos,Pünktlichkeit,Negative
,unpünktlich,Pünktlichkeit,Negative
,verspätet,Pünktlichkeit,Negative
,unendlich,Pünktlichkeit,Negative
,dreckig,Sauberkeit,Negative
,eklig,Sauberkeit,Negative
,schmutzig,Sauberkeit,Negative
,widerlich,Sauberkeit,Negative
,abartig,Sauberkeit,Negative
,Kotzen,Sauberkeit,Negative
,Kotze,Sauberkeit,Negative
,widerwärtig,Sauberkeit,Negative
,verdreckt,Sauberkeit,Negative
,unbenutzbar,Sauberkeit,Negative
,Schmutz,Sauberkeit,Negative
,unsauber,Sauberkeit,Negative
,ungepflegt,Sauberkeit,Negative
,verstopft,Sauberkeit,Negative
,Gestank,Sauberkeit,Negative
,stank,Sauberkeit,Negative
,stinkt,Sauberkeit,Negative
,Urin,Sauberkeit,Negative
,ekelhaft,Sauberkeit,Negative
,Kälte,Komfort,Negative
,kalt,Komfort,Negative
,Hitze,Komfort,Negative
,heiß,Komfort,Negative
,unbequem,Komfort,Negative
,eng,Komfort,Negative
,hart,Komfort,Negative
,hauteng,Komfort,Negative
,gequetscht,Komfort,Negative
,eingepfercht,Komfort,Negative
,gestapelt,Komfort,Negative
,kräftezehrend,Komfort,Negative
,nervig,Komfort,Negative
,eingeengt,Komfort,Negative
,unkomfortabel,Komfort,Negative
,unwohl,Komfort,Negative
,laut,Komfort,Negative
,defekt,Komfort,Negative
,teuer,Preis,Negative
,überteuert,Preis,Negative
,horrende,Preis,Negative
,horrend,Preis,Negative
,unbezahlbar,Preis,Negative
,schlecht,Gesamt,Negative
,Horror,Gesamt,Negative
,schrecklich,Gesamt,Negative
,beschissen,Gesamt,Negative
,mies,Gesamt,Negative
,fürchterlich,Gesamt,Negative
,erbärmlich,Gesamt,Negative
,Horrortrip,Gesamt,Negative
,armselig,Gesamt,Negative
,langwierig ,Gesamt,Negative
,grottenschlecht,Gesamt,Negative
,katastrophal,Gesamt,Negative
,indiskutabel,Gesamt,Negative
,abnormal,Gesamt,Negative
,Ärger,Gesamt,Negative
,ärgerlich,Gesamt,Negative
,unnötig,Gesamt,Negative
,enttäuschend,Gesamt,Negative
,verbesserungswürdig,Gesamt,Negative
,Störung,Gesamt,Negative
,Katastophel,Gesamt,Negative
,Desaster,Gesamt,Negative
,Entsetzen,Gesamt,Negative
,entsetzend,Gesamt,Negative
