username	time	date	city	tweet	flixbus	bahn	blablacar	country
RalphDeGael	13:33:42	18.11.2017		RT @Einzelfallinfos: #Hamburg: Betrunkener namibischer Asylbewerber beschimpft DB-Mitarbeiterin aufs Übelste und bewirft sie mit Blument… 	0	1	0	Tristan Da Cunha
Advents_Ansage	13:34:17	18.11.2017		«Dieser Zug ist kein Adventskalender. Sie dürfen alle Türen nutzen.» #BahnAnsagenBot	0	1	0	
MiaSanMia2013	13:34:48	18.11.2017		@skmichel72 @FCBTicketing @d0al1 Sina und nun aufm Weg. Bahn hatte Verspätung. Am besten am Bernie.	0	1	0	
tiseeg	13:34:53	18.11.2017		"@AnnaGretemeier @GER_Headhunter @DB_Bahn ""Unser Zug hat im Moment leider 10min Verspätung aufgrund von Verzögerungen im Betriebsablauf"". 😉"	0	1	0	
JudithM16141967	13:35:04	18.11.2017	Viersen	RT @OssiMarzahn76: @dushanwegner Ist ja nen ganz cleverer Zug von Twitter,gerade jetzt wo die Aktien schon nicht so dolle stehn. Wird nen K…	0	1	0	 Deutschland
seb1893	13:35:17	18.11.2017		Muss da immer an Nordkorea denken, wenn ich die Choreo sehe https://t.co/gzFeLozc4n	0	1	0	Leipzig
LousSvenja	13:35:35	18.11.2017	Baden-Württemberg	Omg 😳😂😂 https://t.co/NLDMIykqHs	0	1	0	 Deutschland
jobstairs_jobs	13:36:02	18.11.2017		#Job #Stellenangebot https://t.co/S4j1oefk8Z - Deutsche Bahn AG: Leiter Fahrpersonal KiN Niedersachsen (w/m)	0	1	0	
ennonahverkehr	13:36:03	18.11.2017		83517 Hannover Hbf → Wolfsburg hat in Gifhorn (planmäßig 13:26) +10 min. Grund: Überholung durch einen anderen Zug .	0	1	0	
herzhamburgerin	13:36:29	18.11.2017		Ich sitze seit 2 1/2 Stunden im Zug und brauche noch 1 1/2 Stunden nach Maastricht weil ich gleich mit dem SEV-Bus… https://t.co/rw7gCGssky	0	1	0	Europa
nikenemo	13:36:29	18.11.2017	Hamburg	@KeineAFD2017 Das wäre doch mal ein menschlicher Zug.	0	1	0	 Germany
FSVZwickau	13:36:36	18.11.2017	Zwickau	Für den gesperrten Bahn und den verletzten Schröter rutschen heute Barylla und Wagner in die Startelf ... #KSCFSV https://t.co/k3nbBuHlqn	0	1	0	 Sachsen
szonline	13:36:57	18.11.2017	ÜT: 51.056958	Irgendwo auf dem Weg nach #Karlsruhe - Zug mit Fußballfans aus #Zwickau verfährt sich: https://t.co/rXcORR5paj @FSVZwickau	0	1	0	13.723433
gemarkung99	13:36:59	18.11.2017		RT @Gelbkopfamazone: #Feinstaubalarm geht wieder los: Quetschen Sie sich zu Wucherpreisen in eine überfüllte S-Bahn und spielen Sie mit… 	0	1	0	auf dem konzentrationsplaneten
Fussball_Bild	13:37:05	18.11.2017		Peinliche Bahn-Panne - FSV-Sonderzug fehlgeleitet https://t.co/fFSTGMkn6c	0	1	0	Berlin
SportimOsten	13:37:23	18.11.2017		RT @FSVZwickau: Für den gesperrten Bahn und den verletzten Schröter rutschen heute Barylla und Wagner in die Startelf ... #KSCFSV https://t…	0	1	0	Leipzig
dritteliga	13:37:52	18.11.2017		https://t.co/ei6oyaMW5A	0	1	0	Deutschland
nwscp	13:38:04	18.11.2017		"Mit dem Zug ""fast pünktlich"" am Freitag angekommen - wird der Zug heute f. den #SCP weiterrollen? Alle Infos im Liv… https://t.co/8ChexUL938"	0	1	0	Paderborn
bahnbilder	13:38:10	18.11.2017		DB Cargo mit der Vectron Doppeltraktion MRCE X4 E - 859 + Railpool 193 805-9 #karow900de https://t.co/KeQrc6q7zn https://t.co/KK8QJYPgK9	0	1	0	Berlin
bpol_koblenz	13:39:27	18.11.2017	Koblenz	"Auf dem Weg zu #rmg1811? 
#Bahn​reisende am #Bahnhof #Remagen bitte die Sicherheitshinweise der #Bundespolizei beachten.
#bpol @DB_Bahn *rw"	0	1	0	 Deutschland
Ladifaahri	13:39:58	18.11.2017	Darmstadt	Ok. Ein Zug ist da. Vielleicht hab ich Glück und er fährt nach Gießen. Meine Hände sind auch nur taub und noch nicht ab. Yay! \o/	0	1	0	 Deutschland
KVB_Info	13:40:02	18.11.2017		Linie 152 * Folgende Fahrt erfolgt ca. 14 Min. später * (H) Ostheim 12:46h - (H) Wiener Platz 13:03h - (H) Berliner… https://t.co/6xrDnFXEH8	0	1	0	Köln
erixxinfo	13:40:04	18.11.2017		Zug 83720 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 10 min Verspätung ab Hodenhagen (planmäßige Abfahrt 13:29).	0	1	0	
